PENJENISAN IKAN DAN UDANG;;;;;;;;;;;;;;;;;;;;;
DI TPI KABUPATEN CILACAP;;;;;;;;;;;;;;;;;;;;;
BULAN : SEPTEMBER 2016;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
NO;NAMA IKAN;KEMIREN;;SENTOLO KAWAT;;SIDAKAYA;;TEGAL KATILAYU;;LENGKONG;;;;;;;;;;;
;;Kg;Rp.;Kg;Rp.;Kg;Rp.;Kg;Rp.;Kg;Rp.;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;UDANG JERBUNG;;;;;3.321,80;645.688.800,00;;;;;;;;;;;;;;
2;UDANG DOGOL;47,70;3.816.000,00;;;114,20;6.401.900,00;;;2,50;75.000,00;;;;;;;;;;
3;UDANG TIGER;;;;;2,50;700.000,00;;;;;;;;;;;;;;
4;UDANG PECI;;;;;1.939,50;205.333.300,00;;;;;;;;;;;;;;
5;UDANG BARAT;67,50;975.000,00;4.183,00;83.660.000,00;;;;;280,00;7.012.500,00;;;;;;;;;;
6;UDANG REBON;17.604,50;221.753.000,00;12.110,00;36.330.000,00;;;38.660,00;352.012.500,00;8.703,00;90.332.000,00;;;;;;;;;;
7;UDANG KROSOK;2.550,70;45.912.600,00;;;;;4.784,30;112.728.000,00;1.042,50;17.922.500,00;;;;;;;;;;
8;BAWAL PUTIH;;;;;;;;;;;;;;;;;;;;
9;BAWAL HITAM;;;;;;;;;;;;;;;;;;;;
10;BLANAK;;;;;;;;;;;;;;;;;;;;
11;BALENG;;;;;;;;;;;;;;;;;;;;
12;CUCUT;;;;;;;;;;;;;;;;;;;;
13;CERMING;;;;;;;;;;;;;;;;;;;;
14;CAKALANG;;;;;;;;;;;;;;;;;;;;
15;CUMI - CUMI;;;;;;;;;;;;;;;;;;;;
16;KERONG;;;;;;;;;;;;;;;;;;;;
17;ETONG;;;;;;;;;;;;;;;;;;;;
18;GEROK;;;;;;;;;;;;;;;;;;;;
19;GOGOKAN;;;;;;;;;;;;;;;;;;;;
20;GEMBUNG;;;;;;;;;;;;;;;;;;;;
21;GABEL;;;;;;;;;;;;;;;;;;;;
22;KAKAP;21,40;749.000,00;;;;;;;;;;;;;;;;;;
23;KACANGAN;;;;;;;;;;;;;;;;;;;;
24;KEONG;;;;;;;;;;;;;;;;;;;;
25;LAYARAN;;;;;;;;;;;;;;;;;;;;
26;LAYUR;;;2.530,00;10.120.000,00;;;;;50,00;486.000,00;;;;;;;;;;
27;LEMERU / SIRO;;;;;;;;;;;;;;;;;;;;
28;LEMADANG;;;;;;;;;;;;;;;;;;;;
29;LIDAH;371,50;5.572.500,00;;;;;;;62,00;620.000,00;;;;;;;;;;
30;LEMBUTAN;;;27.018,00;51.580.000,00;;;;;26,00;52.000,00;;;;;;;;;;
31;MANYUNG;;;;;;;;;;;;;;;;;;;;
32;MEKA;;;;;;;;;;;;;;;;;;;;
33;MONTOK;1.625,80;22.761.200,00;;;;;;;;;;;;;;;;;;
34;MAMUNG;;;;;;;;;;;;;;;;;;;;
35;PARI / PEH;;;;;;;;;;;;;;;;;;;;
36;RAJUNGAN;;;;;;;;;;;;;;;;;;;;
37;RIJEK;;;;;;;;;;;;;;;;;;;;
38;SONGOT / JAHAN;;;1.173,00;5.865.000,00;;;;;;;;;;;;;;;;
39;TONGKOL BAKOR;;;;;;;;;;;;;;;;;;;;
40;TONGKOL JABRIK;;;;;;;;;;;;;;;;;;;;
41;TONGKOL TUNA;;;;;;;;;;;;;;;;;;;;
42;TENGIRI;;;;;;;;;;;;;;;;;;;;
43;TANJAN;;;39,00;117.000,00;;;;;;;;;;;;;;;;
44;TERI;;;5.426,00;32.556.000,00;;;;;;;;;;;;;;;;
45;UBUR - UBUR;;;;;;;;;;;;;;;;;;;;
46;LAIN - LAIN;1.844,00;5.985.090,00;;;;;4.278,90;40.072.290,00;414,00;1.260.000,00;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;Jumlah;24.133,10;307.524.390,00;52.479,00;220.228.000,00;5.378,00;858.124.000,00;47.723,20;504.812.790,00;10.580,00;117.760.000,00;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
PENJENISAN IKAN DAN UDANG;;;;;;;;;;;;;;;;;;;;;
DI TPI KABUPATEN CILACAP;;;;;;;;;;;;;;;;;;;;;
BULAN : SEPTEMBER 2016;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
NO;NAMA IKAN;PPSC;;B. DONAN / BATRE;;PANDANARANG;;JUMLAH;;JUMLAH S/D BLN INI;;;;;;;;;;;
;;Kg;Rp.;;;Kg;Rp.;Kg;Rp.;Kg;Rp.;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;UDANG JERBUNG;808,50;136.654.400,00;;;;;4.130,30;782.343.200,00;48.855,29;8.392.390.450,00;;;;;;;;;;
2;UDANG DOGOL;204,80;11.916.200,00;;;;;369,20;22.209.100,00;10.314,60;614.348.000,00;;;;;;;;;;
3;UDANG TIGER;88,90;15.479.100,00;;;;;91,40;16.179.100,00;437,60;86.038.500,00;;;;;;;;;;
4;UDANG PECI;826,20;84.369.200,00;;;;;2.765,70;289.702.500,00;32.086,40;3.458.386.100,00;;;;;;;;;;
5;UDANG BARAT;;;;;;;4.530,50;91.647.500,00;9.518,20;226.475.250,00;;;;;;;;;;
6;UDANG REBON;;;;;;;77.077,50;700.427.500,00;237.940,96;3.097.780.475,00;;;;;;;;;;
7;UDANG KROSOK;;;;;;;8.377,50;176.563.100,00;47.164,20;1.349.598.400,00;;;;;;;;;;
8;BAWAL PUTIH;;;;;15,70;3.409.000,00;15,70;3.409.000,00;7.107,00;1.130.224.790,00;;;;;;;;;;
9;BAWAL HITAM;;;;;;;0,00;0,00;1.867,60;312.291.210,00;;;;;;;;;;
10;BLANAK;;;;;;;0,00;0,00;7.487,00;42.337.000,00;;;;;;;;;;
11;BALENG;;;;;;;0,00;0,00;155,50;1.227.500,00;;;;;;;;;;
12;CUCUT;23.894,00;98.425.000,00;;;;;23.894,00;98.425.000,00;298.962,00;1.260.229.000,00;;;;;;;;;;
13;CERMING;;;;;;;0,00;0,00;42,00;1.470.000,00;;;;;;;;;;
14;CAKALANG;;;59.808,00;358.848.000,00;;;59.808,00;358.848.000,00;97.069,00;610.951.000,00;;;;;;;;;;
15;CUMI - CUMI;2.555,00;11.000.000,00;;;;;2.555,00;11.000.000,00;61.400,90;300.419.300,00;;;;;;;;;;
16;KERONG;;;;;;;0,00;0,00;34,00;841.000,00;;;;;;;;;;
17;ETONG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
18;GEROK;;;;;;;0,00;0,00;12,50;387.500,00;;;;;;;;;;
19;GOGOKAN;;;;;;;0,00;0,00;1.111,00;22.365.000,00;;;;;;;;;;
20;GEMBUNG;;;;;;;0,00;0,00;585,50;16.131.300,00;;;;;;;;;;
21;GABEL;;;;;;;0,00;0,00;74,00;222.000,00;;;;;;;;;;
22;KAKAP;;;;;;;21,40;749.000,00;120,20;3.953.700,00;;;;;;;;;;
23;KACANGAN;;;;;;;0,00;0,00;16,10;336.700,00;;;;;;;;;;
24;KEONG;;;;;;;0,00;0,00;10.243,00;90.221.000,00;;;;;;;;;;
25;LAYARAN;2.800,00;16.800.000,00;;;;;2.800,00;16.800.000,00;32.932,00;200.017.000,00;;;;;;;;;;
26;LAYUR;10.740,00;161.100.000,00;8.016,00;56.112.000,00;;;21.336,00;227.818.000,00;314.076,10;4.665.618.200,00;;;;;;;;;;
27;LEMERU / SIRO;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
28;LEMADANG;500,00;2.500.000,00;;;;;500,00;2.500.000,00;13.237,50;53.442.500,00;;;;;;;;;;
29;LIDAH;;;;;;;433,50;6.192.500,00;14.015,70;161.585.450,00;;;;;;;;;;
30;LEMBUTAN;1.000,00;3.000.000,00;;;;;28.044,00;54.632.000,00;145.447,00;305.131.000,00;;;;;;;;;;
31;MANYUNG;;;;;;;0,00;0,00;0,00;0,00;;;;;;;;;;
32;MEKA;2.800,00;16.800.000,00;970,00;5.820.000,00;;;3.770,00;22.620.000,00;17.490,00;103.000.000,00;;;;;;;;;;
33;MONTOK;1.497,00;7.485.000,00;;;;;3.122,80;30.246.200,00;17.898,00;122.163.900,00;;;;;;;;;;
34;MAMUNG;;;;;;;0,00;0,00;92,50;2.035.000,00;;;;;;;;;;
35;PARI / PEH;;;;;;;0,00;0,00;8.427,00;17.912.500,00;;;;;;;;;;
36;RAJUNGAN;;;;;;;0,00;0,00;741,00;20.308.000,00;;;;;;;;;;
37;RIJEK;;;102.615,00;410.460.000,00;;;102.615,00;410.460.000,00;224.298,00;975.250.500,00;;;;;;;;;;
38;SONGOT / JAHAN;3.628,00;18.140.000,00;;;;;4.801,00;24.005.000,00;48.162,30;228.399.000,00;;;;;;;;;;
39;TONGKOL BAKOR;15.300,00;91.800.000,00;27.463,00;177.850.000,00;;;42.763,00;269.650.000,00;369.068,50;2.248.001.500,00;;;;;;;;;;
40;TONGKOL JABRIK;18.700,00;96.000.000,00;23.422,00;117.110.000,00;;;42.122,00;213.110.000,00;277.978,60;1.502.507.000,00;;;;;;;;;;
41;TONGKOL TUNA;24.320,00;243.200.000,00;25.400,00;177.800.000,00;;;49.720,00;421.000.000,00;222.518,00;1.975.367.500,00;;;;;;;;;;
42;TENGIRI;;;;;;;0,00;0,00;35,00;1.682.500,00;;;;;;;;;;
43;TANJAN;;;;;;;39,00;117.000,00;2.275,00;6.837.000,00;;;;;;;;;;
44;TERI;;;;;;;5.426,00;32.556.000,00;10.904,00;67.222.000,00;;;;;;;;;;
45;UBUR - UBUR;;;;;;;0,00;0,00;1.584,40;4.527.390,00;;;;;;;;;;
46;LAIN - LAIN;13.980,00;81.200.000,00;4.925,00;14.775.000,00;;;25.441,90;143.292.380,00;223.281,60;1.401.899.785,00;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;Jumlah;123.642,40;1.095.868.900,00;252.619,00;1.318.775.000,00;15,70;3.409.000,00;516.570,40;4.426.502.080,00;2.817.066,75;35.081.532.900,00;;;;;;;;;;
